P_kPa,T_sat_C,T_C,V,U,H,S
1,6.98,75,12900.0,2020.0,2552.3,8.3186
1,6.98,100,10480.0,1721.0,2585.0,8.4462
1,6.98,125,8610.0,1897.0,2736.0,8.5722
1,6.98,150,7200.0,1952.0,2783.7,8.6888
1,6.98,175,6150.0,2061.0,2831.7,8.7994
1,6.98,200,5330.0,2150.0,2880.1,8.9058
1,6.98,225,4670.0,2298.0,2928.7,9.01
1,6.98,250,4140.0,2413.0,2977.7,9.101
10,45.83,75,11.002,1467.0,2499.1,7.7904
10,45.83,100,10.577,1791.0,2551.6,8.3168
10,45.83,125,10.147,2115.0,2603.8,8.8446
10,45.83,150,9.7189,2435.0,2655.5,9.3722
10,45.83,175,9.3,2751.0,2706.8,9.6888
10,45.83,200,8.8967,3062.0,2757.8,10.005
10,45.83,225,8.507,3369.0,2808.1,10.321
10,45.83,250,8.129,3671.0,2858.0,10.637
20,60.09,75,5.741,2432.0,2594.9,7.9094
20,60.09,100,5.474,2684.0,2638.4,7.9938
20,60.09,125,5.217,2923.0,2681.3,8.1261
20,60.09,150,4.968,3160.0,2723.7,8.2504
20,60.09,175,4.726,3393.0,2765.5,8.3676
20,60.09,200,4.492,3624.0,2806.7,8.4785
20,60.09,225,4.265,3851.0,2847.2,8.5839
20,60.09,250,4.045,4075.0,2887.1,8.6844
